Species,Code,SpeciesCode,Pulp Density (%),Day,pH,pH STDEV,Mg (mg/L),Mg STDEV,Mg/d (mg/L-d),(1/pH)-d,Mg/Pulp Density (mg/L-Pulp Density)
SD 2%,Sd2,Sd,2,4,6.25333333333333,0.0115470053837923,60.2788666666667,0.622064725999906,15.0697166666667,0.639658848614073,30.1394333333333
SD 2%,Sd2,Sd,2,5,5.94666666666667,0.032145502536643,73.3095666666667,1.8922659547044,14.6619133333333,0.840807174887893,36.6547833333333
SD 3%,Sd3,Sd,3,0,7.57666666666667,0.0288675134594817,14.9311666666667,0.374955255108303
SD 3%,Sd3,Sd,3,1,7.72,0.0818535277187241,39.2585,2.96880919056783,39.2585,0.129533678756477,13.0861666666667
SD 3%,Sd3,Sd,3,2,7.54333333333333,0.130128141972954,49.7793,3.80760931425481,24.88965,0.265134776844896,16.5931
SD 3%,Sd3,Sd,3,3,7.31,0.0608276253029819,55.6028,1.98927687615374,18.5342666666667,0.410396716826265,18.5342666666667
SD 3%,Sd3,Sd,3,4,6.92333333333333,0.179536440126603,88.2497,4.19740189045557,22.062425,0.577756379393356,29.4165666666667
SD 3%,Sd3,Sd,3,5,6.68,0.02,99.4989666666667,3.12300937291795,19.8997933333333,0.748502994011976,33.1663222222222
PS 1%,Ps1,Ps,1,0,7.23333333333333,0.106926766215636,14.1688333333333,3.21306667271835
PS 1%,Ps1,Ps,1,1,6.77666666666667,0.0230940107675851,34.4322333333333,0.0694975059504534,34.4322333333333,0.14756517461879,34.4322333333333
PS 1%,Ps1,Ps,1,2,4.65,0.0700000000000004,74.9860333333333,9.10448412944596,37.4930166666667,0.43010752688172,74.9860333333333
PS 1%,Ps1,Ps,1,3,3.88,0.0754983443527074,216.674333333333,8.73354658791795,72.2247777777778,0.77319587628866,216.674333333333
PS 1%,Ps1,Ps,1,4,3.75333333333333,0.0321455025366432,368.733233333333,27.3305976517773,92.1833083333334,1.06571936056838,368.733233333333
PS 1%,Ps1,Ps,1,5,3.76333333333333,0.0288675134594812,487.365333333333,25.795209679383,97.4730666666667,1.32860938883968,487.365333333333
PS 2%,Ps2,Ps,2,0,7.58666666666667,0.115902257671425,15.2267666666667,0.999415961115957
